date_month,partner_area_name,name_city,zonas,zonas_santiago,vertical,total_confirmed_order,total_active_users,total_failed_order,total_failed_active_users,total_confirmed_orders_plus,total_plus_active_users,total_failed_orders_plus,total_failed_plus_active_users,total_GFV,total_GFV_PLUS,total_GFV_NO_PLUS,total_GMV,total_GMV_PLUS,total_GMV_NO_PLUS
2022-08-01,Talagante,Talagante,RM,Zona No Oriente,non_food,461,301,48,40,0,0,0,0,6422241.8,,6422241.8,6489982.01,,6489982.01
2021-12-01,Maipo,Buin,RM,Zona No Oriente,food,83,55,2,2,0,0,0,0,987022,,987022,1122622,,1122622
2021-03-01,Arauco,Lebu,other,Regiones,non_food,2,2,0,0,0,0,0,0,23467,,23467,26947,,26947
2022-01-01,Hijuelas,Quillota,Quinta,Regiones,food,31,12,0,0,0,0,0,0,352546,,352546,399956,,399956
2023-05-01,Paine.,Paine,other,Regiones,non_food,2,2,0,0,0,0,0,0,26242,,26242,26242,,26242
2022-03-01,Pucón,Temuco,Sur,Regiones,food,1,1,1,1,0,0,0,0,11990,,11990,13960,,13960
2022-07-01,Laja,Biobío,Sur,Regiones,food,5,1,0,0,0,0,0,0,69540,,69540,77982,,77982
2022-05-01,Bulnes,Bulnes,other,Regiones,non_food,1,1,1,1,0,0,0,0,13481,,13481,16438,,16438
2021-05-01,Farellones,Santiago,RM,Zona No Oriente,non_food,1,1,1,1,0,0,0,0,10160,,10160,12250,,12250
2021-05-01,Teodoro Schmidt,Temuco,Sur,Regiones,food,3,3,1,1,0,0,0,0,19140,,19140,19140,,19140
2021-10-01,Calera,Valparaíso,Quinta,Regiones,food,6,4,1,1,0,0,0,0,66210,,66210,72180,,72180
2024-05-01,El Monte,Santiago,RM,Zona No Oriente,food,1,1,0,0,0,0,0,0,7990,,7990,10490,,10490
2024-04-01,Calle Larga,Los Andes,Quinta,Regiones,food,24,14,0,0,0,0,0,0,313148,,313148,356478,,356478
2021-07-01,San Fernando,San Fernando,Sur,Regiones,non_food,117,89,23,11,0,0,0,0,1375326,,1375326,1559179.2,,1559179.2
2024-05-01,Maullín,Puerto Montt,Sur,Regiones,food,1,1,0,0,0,0,0,0,29990,,29990,32580,,32580
2021-09-01,Alhue,Alhue,other,Regiones,food,3,1,1,1,0,0,0,0,46200,,46200,51080,,51080
2023-05-01,Los Alamos,Lebu,other,Regiones,food,2,2,0,0,0,0,0,0,18640,,18640,19230,,19230
2021-02-01,San José de Maipo,Puente Alto,other,Regiones,food,4,4,0,0,0,0,0,0,52470,,52470,60470,,60470
2022-01-01,Farellones,Santiago,RM,Zona No Oriente,food,3,3,0,0,0,0,0,0,12680,,12680,18450,,18450
2021-07-01,Yumbel,Los Ángeles,Sur,Regiones,food,10,9,0,0,0,0,0,0,85670,,85670,86560,,86560
2024-03-01,Penco,Gran Concepción,Sur,Regiones,food,83,66,0,0,1,1,0,1,1065680,13090,1052590,1187010,14850,1172160
2022-11-01,Lanco,Valdivia,Sur,Regiones,non_food,1,1,1,1,0,0,0,0,5414,,5414,5414,,5414
2021-04-01,Los Lagos,Valdivia,Sur,Regiones,food,19,4,3,1,0,0,0,0,228360,,228360,255780,,255780
2022-03-01,Santa Julia,Valparaíso,Quinta,Regiones,food,4,2,0,0,0,0,0,0,32020,,32020,38189,,38189
2023-01-01,Talcahuano_old,Gran Concepción,Sur,Regiones,food,146,63,2,2,1,1,0,1,2526478,21000,2505478,2748693,22635,2726058
2022-07-01,La Cruz,Quillota,Quinta,Regiones,non_food,1,1,2,1,0,0,0,0,9403.8,,9403.8,9403.8,,9403.8
2023-01-01,Maipo,Buin,RM,Zona No Oriente,food,58,50,4,4,0,0,0,0,721871,,721871,816831,,816831
2021-09-01,Cartagena,San Antonio,Quinta,Regiones,food,68,23,0,0,0,0,0,0,820258,,820258,915868,,915868
2022-08-01,Cartagena,San Antonio,Quinta,Regiones,non_food,1,1,0,0,0,0,0,0,12270,,12270,13751,,13751
2021-06-01,Parral,Parral,other,Regiones,food,0,0,1,1,0,0,0,0,,,,,,
2022-02-01,Peñaflor_deleted,Peñaflor,RM,Zona No Oriente,non_food,2,2,0,0,0,0,0,0,9500,,9500,11190,,11190
2022-01-01,Empedrado,Talca,Sur,Regiones,food,1,1,0,0,0,0,0,0,16500,,16500,18290,,18290
2021-12-01,Arauco,Lebu,other,Regiones,food,6,3,0,0,0,0,0,0,71798,,71798,79948,,79948
2023-02-01,Labranza,Temuco,Sur,Regiones,food,208,134,10,10,7,4,1,4,2421174.5,61090,2360084.5,2597214.5,69040,2528174.5
2024-04-01,Los Alamos,Lebu,other,Regiones,non_food,1,1,0,0,0,0,0,0,6727,,6727,6727,,6727
2021-08-01,Alhue,Alhue,other,Regiones,non_food,2,1,0,0,0,0,0,0,11800,,11800,14780,,14780
2022-01-01,Pirque,Puente Alto,other,Regiones,non_food,0,0,1,1,0,0,0,0,,,,,,
2023-07-01,LicanRay,Villarrica,other,Regiones,food,1,1,0,0,0,0,0,0,3800,,3800,3900,,3900
2022-08-01,Teno,Curicó,Sur,Regiones,food,10,4,0,0,0,0,0,0,70930,,70930,80532.6,,80532.6
2021-07-01,Los Muermos,Puerto Montt,Sur,Regiones,food,1,1,1,1,0,0,0,0,9980,,9980,10970,,10970
2022-10-01,Hijuelas,Quillota,Quinta,Regiones,food,4,3,0,0,0,0,0,0,46040,,46040,52830,,52830
2021-07-01,Hualqui,Gran Concepción,Sur,Regiones,food,5,2,0,0,0,0,0,0,54330,,54330,60680,,60680
2022-09-01,Arauco,Lebu,other,Regiones,food,3,2,0,0,0,0,0,0,33516,,33516,37284,,37284
2023-10-01,Linderos,Linderos,other,Regiones,non_food,33,22,3,2,6,3,0,3,352040,106220,245820,389965,111565,278400
2021-11-01,Victoria,Angol,other,Regiones,food,8,6,0,0,0,0,0,0,89780,,89780,98120,,98120
2024-02-01,Linderos,Linderos,other,Regiones,food,343,186,7,7,40,12,0,12,5823508.5,567017,5256491.5,6517893.5,609692,5908201.5
2021-05-01,Talagante_Deleted,Talagante,RM,Zona No Oriente,food,3,1,0,0,0,0,0,0,39540,,39540,43540,,43540
2022-03-01,San Pedro de la Paz_Old,Gran Concepción,Sur,Regiones,food,15,5,1,1,0,0,0,0,212962,,212962,233432,,233432
2021-12-01,Nacimiento,Los Ángeles,Sur,Regiones,food,1,1,0,0,0,0,0,0,23980,,23980,25570,,25570
2022-09-01,Lautaro,Temuco,Sur,Regiones,food,3,1,0,0,0,0,0,0,20166,,20166,24481,,24481
2022-03-01,Maitencillo,Maitencillo,other,Regiones,non_food,0,0,5,3,0,0,0,0,,,,,,
2021-04-01,Mejillones,Antofagasta,Norte,Regiones,non_food,1,1,0,0,0,0,0,0,4000,,4000,5490,,5490
2024-03-01,Calle Larga,Los Andes,Quinta,Regiones,food,18,14,2,1,3,1,0,1,240834,46299,194535,271804,48429,223375
2021-01-01,Taltal,Antofagasta,Norte,Regiones,food,3,1,0,0,0,0,0,0,45590,,45590,49560,,49560
2023-03-01,Combarbalá,Ovalle,Norte,Regiones,food,8,5,1,1,0,0,0,0,100010,,100010,110310,,110310
2022-07-01,Río Bueno,La Unión,other,Regiones,non_food,1,1,0,0,0,0,0,0,13750,,13750,13750,,13750
2021-01-01,San Pedro de la Paz_Old,Gran Concepción,Sur,Regiones,food,31,17,3,2,0,0,0,0,427300,,427300,466600,,466600
2021-07-01,Santa Bárbara,Los Ángeles,Sur,Regiones,non_food,2,1,0,0,0,0,0,0,20536,,20536,24816,,24816
2022-03-01,Victoria,Angol,other,Regiones,food,10,9,1,1,0,0,0,0,115780,,115780,125510,,125510
2022-09-01,Santa Bárbara,Los Ángeles,Sur,Regiones,food,2,1,0,0,0,0,0,0,8758,,8758,10938,,10938
2021-06-01,LicanRay,Villarrica,other,Regiones,food,232,231,3,1,0,0,0,0,874442,,874442,883142,,883142
2023-02-01,Linares,Linares,Sur,Regiones,non_food,100,82,9,9,19,15,0,15,910301.2,157500,752801.2,1015408.2,168290,847118.2
2023-06-01,Laja,Biobío,Sur,Regiones,food,4,1,0,0,0,0,0,0,76400,,76400,85100,,85100
2022-05-01,Taltal,Antofagasta,Norte,Regiones,food,7,3,1,1,0,0,0,0,81280,,81280,92752,,92752
2021-11-01,Canal de Aries,Valparaíso,Quinta,Regiones,food,6,1,0,0,0,0,0,0,120100,,120100,128850,,128850
2022-04-01,Alhue,Alhue,other,Regiones,food,4,1,0,0,0,0,0,0,70565,,70565,79769,,79769
2021-02-01,Diego de Almagro,Chañaral,other,Regiones,food,3,2,0,0,0,0,0,0,11890,,11890,15660,,15660
2021-02-01,Teno,Curicó,Sur,Regiones,non_food,1,1,0,0,0,0,0,0,11100,,11100,12890,,12890
2022-09-01,Linares,Linares,Sur,Regiones,non_food,124,91,21,17,0,0,0,0,1644841.7,,1644841.7,1789150.7,,1789150.7
2023-06-01,Curanilahue,Lebu,other,Regiones,food,1,1,0,0,0,0,0,0,5300,,5300,7090,,7090
2024-01-01,Linderos,Linderos,other,Regiones,non_food,75,48,4,4,5,4,0,4,900167,46390,853777,1020690,52516,968174
2022-07-01,Yumbel,Biobío,Sur,Regiones,food,3,1,1,1,0,0,0,0,7500,,7500,7500,,7500
2022-07-01,Linderos,Linderos,other,Regiones,non_food,32,24,6,5,0,0,0,0,393810,,393810,440949.8,,440949.8
2022-04-01,Penco_deleted,Gran Concepción,Sur,Regiones,food,4,3,1,1,0,0,0,0,63880,,63880,69880,,69880
2022-10-01,Caldera,Copiapó,Norte,Regiones,non_food,1,1,0,0,0,0,0,0,14591,,14591,16777,,16777
2021-05-01,Pomaire,Santiago,RM,Zona No Oriente,food,4,3,0,0,0,0,0,0,41780,,41780,48260,,48260
2021-11-01,Hualqui,Gran Concepción,Sur,Regiones,food,3,1,0,0,0,0,0,0,21200,,21200,24170,,24170
2021-08-01,Mulchén,Biobío,Sur,Regiones,food,2,2,0,0,0,0,0,0,20170,,20170,23560,,23560
2021-02-01,Baquedano,Baquedano,other,Regiones,food,9,7,2,2,0,0,0,0,112050,,112050,124080,,124080
2022-12-01,Lota,Gran Concepción,Sur,Regiones,food,1,1,0,0,0,0,0,0,13800,,13800,15640,,15640
2021-12-01,Olmué,Olmué,other,Regiones,food,1,1,0,0,0,0,0,0,10290,,10290,11790,,11790
2022-08-01,San José de Maipo,Puente Alto,other,Regiones,food,1,1,0,0,0,0,0,0,8590,,8590,10590,,10590
2021-12-01,María Elena,Tocopilla,other,Regiones,non_food,1,1,0,0,0,0,0,0,4680,,4680,7170,,7170
